RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
34,26224833,Taylor,648,France,Male,54,10,104621.13,2,0,1,53390.1,0,0,4,GOLD,300
35,42713410,Johnson,451,France,Male,88,6,237832.62,4,1,0,100393.03,1,0,1,GOLD,962
36,65368038,Garcia,457,France,Male,36,3,178102.03,1,0,0,39697.74,0,0,1,GOLD,988
37,82358128,Lopez,331,Germany,Female,61,1,138333.57,1,1,0,99686.94,0,1,4,GOLD,553
38,37385458,Jackson,850,Spain,Male,80,1,135333.1,4,1,0,128624.99,0,0,5,PLATINUM,573
39,42722701,Jackson,534,France,Female,78,9,154135.51,1,1,1,17287.12,1,1,1,GOLD,314
40,90324998,Brown,368,France,Male,80,9,72948.66,3,0,0,125804.28,0,0,3,PLATINUM,247
41,90429990,Wilson,406,Spain,Male,38,8,169454.45,2,1,0,164929.88,0,0,1,DIAMOND,29
42,85776465,Martinez,398,France,Female,89,3,47449.71,4,1,0,39377.48,1,1,3,GOLD,480
43,82476169,Thomas,335,Germany,Male,76,9,74242.19,3,1,1,79176.96,0,1,1,GOLD,764
44,11756473,Rodriguez,662,Germany,Female,38,7,183272.44,3,1,1,94933.45,0,1,5,DIAMOND,293
45,27640052,Martinez,306,Spain,Male,93,1,221352.3,1,0,0,188727.14,0,1,4,DIAMOND,25
46,30216978,Martinez,384,France,Female,81,8,140902.96,2,1,0,45957.4,1,0,5,DIAMOND,52
47,40955107,Jackson,691,Germany,Female,70,1,24562.61,3,1,0,9056.9,0,0,5,PLATINUM,22
48,32911550,Jones,834,Spain,Male,60,2,55729.35,1,1,1,137057.64,1,1,3,GOLD,4
49,38111083,Garcia,470,Spain,Female,73,9,193291.69,3,1,0,19915.23,0,0,3,SILVER,147
50,19277753,Anderson,376,Spain,Female,98,0,156464.65,2,1,0,21329.64,0,1,4,SILVER,422
51,38961432,Rodriguez,663,Spain,Male,96,9,143549.87,3,1,0,188688.25,0,1,1,SILVER,262
52,10320999,Gonzalez,335,Spain,Male,42,3,213172.31,1,0,0,190113.65,0,1,1,PLATINUM,460
53,26820255,Martin,488,Germany,Female,79,5,109297.29,3,0,1,59661.92,0,0,1,DIAMOND,717
54,32774359,Wilson,681,Germany,Female,64,6,96806.5,1,1,0,179989.43,1,0,1,DIAMOND,673
55,63239244,Hernandez,661,Germany,Male,64,0,5363.86,4,1,1,133976.14,0,1,5,GOLD,709
56,21841524,Hernandez,805,Germany,Male,21,5,94216.87,4,1,1,50310.83,0,1,1,DIAMOND,70
57,69785960,Davis,827,Spain,Male,31,10,113518.06,4,1,0,77381.33,0,1,5,SILVER,419
58,29184257,Jackson,464,Germany,Male,55,1,65334.63,3,1,0,34584.16,1,0,2,PLATINUM,63
59,24124338,Martinez,719,Spain,Male,34,2,242506.8,3,0,0,186767.42,1,0,5,PLATINUM,195
60,74301852,Jackson,800,Spain,Female,24,2,70479.46,4,1,1,189626.6,1,0,5,DIAMOND,508
61,12403457,Martin,575,Spain,Female,75,9,8637.26,1,1,1,59282.05,1,0,4,PLATINUM,424
62,74972486,Taylor,538,Germany,Male,35,0,114115.74,1,0,1,75428.16,1,1,2,SILVER,75
63,84458220,Martin,362,Germany,Female,26,3,176138.88,3,1,0,151073.37,1,0,5,PLATINUM,492
64,77502477,Jones,565,Germany,Female,79,1,79986.91,1,0,1,116089.03,0,0,4,GOLD,392
65,14910288,Wilson,484,France,Male,85,6,46138.11,2,1,0,95683.8,0,1,4,SILVER,314
66,65829935,Smith,443,France,Female,71,4,95661.82,2,0,0,198981.75,1,0,4,PLATINUM,909
67,29989355,Lopez,756,France,Male,51,8,59553.76,4,1,0,99631.42,0,0,5,SILVER,581
68,80752231,Wilson,649,France,Male,19,2,219476.47,4,0,1,85644.37,0,0,3,PLATINUM,751
69,26399547,Smith,659,Germany,Male,44,6,247791.74,1,0,0,98174.46,1,0,1,DIAMOND,735
70,71116821,Garcia,394,Spain,Male,60,7,210243.41,3,1,0,145763.17,0,1,2,PLATINUM,400
71,43796219,Martin,420,Germany,Female,33,5,58876.52,3,1,0,131304.96,0,1,5,GOLD,745
72,79925999,Smith,582,Germany,Male,76,10,110983.91,3,0,1,83326.66,1,1,4,PLATINUM,697
73,75685938,Lopez,764,Germany,Female,60,1,185150.28,4,1,0,58812.34,1,1,4,SILVER,884
74,36157686,Jackson,435,Germany,Male,88,6,69973.88,1,1,0,151851.84,0,0,3,DIAMOND,913
75,49993205,Smith,691,Spain,Female,94,1,117567.3,1,0,0,138322.11,0,0,5,SILVER,204
76,30058251,Anderson,480,France,Female,20,9,204879.06,4,0,1,50042.18,1,1,4,SILVER,476
77,23024602,Jones,732,France,Female,90,4,37826.62,1,1,1,141784.9,1,0,1,DIAMOND,16
78,36192915,Rodriguez,537,Spain,Male,90,0,216678.47,2,0,0,83263.73,0,1,3,DIAMOND,558
79,16575020,Davis,340,Germany,Female,41,5,67100.53,3,0,1,89173.64,1,1,1,PLATINUM,857
80,51393222,Wilson,800,France,Female,20,5,40856.48,2,0,0,96133.26,1,0,4,DIAMOND,554
81,39543339,Martin,759,Spain,Female,36,8,166650.27,2,1,1,127647.42,0,1,2,SILVER,597
82,24901877,Brown,434,Germany,Male,86,5,229219.37,4,1,0,199356.84,0,0,4,GOLD,847
83,41323774,Martinez,505,Germany,Female,30,0,228231.35,3,0,0,29715.59,0,1,1,SILVER,958
84,71250200,Taylor,392,France,Female,26,4,241227.44,1,0,1,34776.29,0,1,5,PLATINUM,742
85,90184421,Moore,430,Spain,Male,45,10,244482.16,3,0,1,133958.54,0,1,4,SILVER,328
86,70031509,Jones,376,Germany,Female,49,9,246951.24,1,0,1,73670.18,0,0,1,SILVER,32
87,42747540,Thomas,712,France,Male,51,3,196436.07,4,1,0,70896.79,0,0,5,GOLD,459
88,89823700,Johnson,673,France,Female,50,9,129988.09,1,1,1,62834.13,1,0,5,GOLD,205
89,52208378,Taylor,452,Spain,Male,19,0,67787.79,4,1,1,7612.51,0,0,1,SILVER,65
90,37501557,Gonzalez,608,Spain,Male,53,5,7107.17,3,0,1,8477.0,1,1,5,DIAMOND,239
91,74868493,Hernandez,717,France,Female,51,0,3995.8,2,0,0,170889.12,1,1,4,SILVER,174
92,30267699,Moore,422,Germany,Female,22,4,44746.17,3,0,0,184747.59,1,1,4,PLATINUM,627
93,93185637,Garcia,728,Germany,Female,66,3,201642.96,2,1,0,116702.19,1,1,3,DIAMOND,637
94,11152743,Smith,613,Germany,Male,93,6,138615.89,3,1,0,53421.01,1,0,4,PLATINUM,457
95,26422314,Williams,450,Germany,Female,61,9,54567.93,3,0,0,144448.05,1,0,2,DIAMOND,248
96,67808651,Hernandez,530,Spain,Female,27,6,164602.31,4,1,0,156720.91,1,1,2,PLATINUM,562
97,79582471,Johnson,368,Spain,Female,74,4,199590.58,2,1,0,175259.89,1,1,4,GOLD,41
98,38664532,Smith,818,Spain,Male,48,0,24342.98,4,1,0,105800.95,1,0,3,DIAMOND,997
99,90919938,Smith,333,Germany,Male,31,7,160207.04,4,0,0,65595.45,0,0,4,PLATINUM,838
100,93728134,Garcia,727,Germany,Male,40,7,35594.24,2,1,1,43658.16,1,1,2,SILVER,207
101,59746741,Lopez,838,Germany,Female,47,4,126122.16,4,1,1,139184.71,1,1,3,PLATINUM,489
102,53227740,Anderson,577,Germany,Male,42,4,198874.61,3,1,0,194661.0,1,1,3,PLATINUM,36
103,74809595,Garcia,748,France,Male,100,5,247232.98,4,1,1,8583.03,1,0,1,DIAMOND,708
104,50783873,Rodriguez,779,Germany,Male,90,8,38724.17,1,1,1,173133.2,0,0,1,DIAMOND,586
105,81381476,Anderson,531,Germany,Male,63,7,170071.72,2,1,0,166735.23,1,0,2,GOLD,144
106,57409015,Wilson,446,France,Female,31,10,160765.96,1,0,1,147014.44,1,0,5,PLATINUM,881
107,67190270,Jackson,431,France,Female,36,8,25972.23,1,0,1,121923.6,1,1,4,SILVER,939
108,78882875,Brown,836,Spain,Male,62,2,98226.65,4,1,0,138643.81,1,0,4,PLATINUM,46
109,70095998,Davis,496,Spain,Female,18,5,191224.09,4,1,1,173819.86,0,0,2,DIAMOND,762
110,37881935,Martin,606,France,Male,60,7,49640.5,4,1,1,159470.32,1,0,4,GOLD,103
111,95660290,Williams,719,Spain,Female,40,5,96788.41,2,1,1,104750.64,1,1,4,PLATINUM,148
112,85174150,Miller,573,Spain,Male,100,9,38547.79,1,1,0,71583.85,0,1,1,DIAMOND,509
113,37777056,Taylor,577,France,Female,37,4,81775.94,3,0,1,34322.32,0,1,2,GOLD,652
114,12088057,Smith,826,France,Female,50,6,178211.4,1,1,0,188984.47,0,1,4,GOLD,667
115,31735501,Jones,708,Spain,Male,91,3,129075.77,4,1,0,173591.1,1,0,5,SILVER,285
116,75213458,Smith,377,Spain,Male,66,9,23061.49,3,0,1,70822.06,1,1,3,GOLD,434
117,96122356,Martinez,632,France,Female,90,10,224505.13,4,0,0,143431.85,1,0,5,GOLD,531
118,86158650,Miller,810,France,Female,61,0,24818.01,3,1,1,153295.56,0,1,5,PLATINUM,28
119,22052634,Taylor,699,Germany,Female,44,2,77129.06,4,1,1,34206.94,0,0,3,GOLD,426
120,54718981,Brown,633,France,Male,65,8,43342.74,4,1,0,27850.2,0,1,3,GOLD,287
121,22352445,Jackson,710,France,Male,45,5,103789.34,4,0,0,111222.64,0,0,3,SILVER,294
122,49755614,Taylor,781,Germany,Female,64,9,36914.39,1,1,1,45105.0,1,1,2,SILVER,798
123,45103869,Lopez,689,Germany,Female,30,1,193478.5,1,1,1,115314.87,1,1,3,GOLD,245
124,52431514,Lopez,725,Germany,Male,72,3,6863.28,2,0,0,53219.93,1,1,2,SILVER,197
125,71093536,Jackson,569,Germany,Male,54,8,44555.04,3,1,0,58745.31,1,0,3,DIAMOND,752
126,12321331,Jackson,783,Germany,Female,18,1,59302.36,3,0,1,107280.35,0,0,3,GOLD,24
127,15127852,Thomas,493,Spain,Male,69,9,127749.94,4,1,0,30047.46,0,0,5,SILVER,37
128,27446855,Martinez,741,Spain,Male,85,2,134446.81,2,0,1,160099.6,0,0,3,PLATINUM,362
129,11902509,Johnson,605,France,Male,23,8,200751.91,3,1,1,14440.09,0,0,2,GOLD,652
130,75102006,Taylor,748,France,Male,35,8,30930.67,1,0,1,28832.68,0,1,3,GOLD,170
131,35523472,Rodriguez,690,Germany,Female,91,9,48185.34,4,1,1,186018.14,1,0,2,DIAMOND,773
132,47546194,Johnson,489,Germany,Female,89,10,43409.22,2,0,1,36227.11,0,1,1,PLATINUM,292
133,96621212,Jackson,799,Spain,Female,35,3,174037.18,4,1,0,43989.72,0,0,3,SILVER,492
134,29691259,Taylor,620,Germany,Female,55,7,132999.85,2,1,0,131446.2,0,1,4,GOLD,190
135,21410595,Davis,432,Spain,Female,33,10,249397.95,3,0,0,91168.37,0,0,5,GOLD,353
136,52289728,Jackson,825,Germany,Female,78,3,242623.08,4,0,0,78171.77,0,0,3,DIAMOND,560
137,82119353,Thomas,646,France,Male,40,5,138433.29,1,0,0,24684.22,1,1,4,GOLD,404
138,94422679,Johnson,329,Germany,Male,76,7,77457.13,2,0,0,82202.04,0,1,5,SILVER,948
139,15278617,Williams,569,Germany,Female,48,2,165380.4,2,1,0,15074.04,0,1,5,GOLD,489
140,84950072,Garcia,653,France,Female,43,8,59612.59,1,1,0,162580.77,1,1,3,PLATINUM,684
141,98107177,Johnson,474,Spain,Female,100,4,76324.91,4,1,0,90467.68,0,1,1,GOLD,819
142,80402237,Thomas,395,Spain,Male,72,1,176351.2,4,1,1,24586.22,0,0,3,SILVER,306
143,19256605,Garcia,686,France,Female,83,4,173214.06,4,0,0,163901.79,1,0,3,SILVER,181
144,40203277,Smith,479,Spain,Female,72,1,52749.3,1,1,1,192418.34,1,1,4,SILVER,617
145,28214820,Williams,518,Spain,Male,18,2,199377.06,4,1,0,13837.29,0,1,1,DIAMOND,84
146,41798208,Taylor,472,Germany,Female,60,2,27182.71,1,1,0,97993.79,1,0,2,GOLD,117
147,89200177,Brown,827,Spain,Male,89,0,21664.05,2,1,1,105994.15,0,0,5,DIAMOND,954
148,54996354,Martinez,745,Spain,Female,28,5,99423.98,1,0,1,97795.58,0,1,2,DIAMOND,954
149,14514063,Wilson,378,France,Male,18,9,58813.04,1,0,1,36340.43,0,0,5,SILVER,660
150,80581658,Martinez,623,Germany,Male,72,2,88643.2,2,0,0,183705.68,0,1,5,PLATINUM,932
151,88673552,Davis,564,Germany,Female,97,0,55623.93,2,1,1,154549.59,1,0,1,GOLD,530
152,76044299,Davis,514,Spain,Female,83,7,233060.96,2,0,0,18755.17,1,1,5,PLATINUM,656
153,42690354,Brown,555,Spain,Male,26,8,69768.93,2,1,1,8540.26,1,0,3,SILVER,831
154,85253069,Taylor,324,Germany,Female,85,7,99340.62,4,0,0,4765.17,1,1,4,GOLD,211
155,52366985,Davis,639,Germany,Female,73,7,98864.52,4,1,0,149802.4,1,1,5,PLATINUM,574
156,73229380,Johnson,433,France,Female,67,9,124135.18,1,1,1,124199.16,1,0,4,PLATINUM,232
157,64607243,Wilson,803,Germany,Male,18,0,116764.48,1,0,0,140402.49,1,0,2,GOLD,151
158,48487277,Davis,330,France,Male,42,4,185374.45,1,0,1,114716.79,0,0,5,DIAMOND,75
159,59113836,Hernandez,460,Germany,Female,54,7,154971.69,4,0,1,134758.72,0,1,4,GOLD,523
160,93285893,Rodriguez,708,Spain,Male,95,6,164041.89,2,0,1,57187.8,1,0,3,GOLD,410
161,19196789,Williams,387,France,Female,31,4,11538.24,1,1,0,120004.75,0,1,4,DIAMOND,843
162,61720113,Gonzalez,781,Germany,Female,74,10,177395.36,1,0,0,8373.93,0,0,2,GOLD,124
163,39580812,Rodriguez,421,France,Male,60,2,218842.12,3,1,0,161399.27,0,0,5,DIAMOND,671
164,25946682,Martinez,828,France,Female,61,10,56864.92,4,1,1,16474.42,1,1,4,GOLD,302
165,69326638,Lopez,620,Spain,Male,20,4,88390.58,4,1,0,15475.83,0,1,1,SILVER,162
166,64208369,Gonzalez,522,Spain,Female,38,9,98506.66,4,0,0,35241.15,1,1,2,PLATINUM,333
167,72265388,Johnson,365,Germany,Female,42,4,23450.52,1,0,1,156822.2,1,0,3,DIAMOND,979
168,34162072,Miller,566,France,Female,69,1,143200.85,4,0,1,129307.5,1,1,5,DIAMOND,564
169,96632103,Moore,614,Germany,Male,97,7,176911.34,2,0,1,138247.92,0,1,2,GOLD,887
170,42493261,Wilson,472,Germany,Female,48,9,231644.48,3,0,0,197587.72,1,0,2,SILVER,723
171,90268381,Jones,302,Spain,Female,94,7,168212.71,2,1,1,130077.07,1,1,5,PLATINUM,8
172,65770640,Rodriguez,357,Germany,Female,63,4,83407.92,4,0,0,56323.53,1,1,1,PLATINUM,395
173,23726071,Taylor,378,Germany,Female,32,10,239423.51,4,0,0,175572.56,1,0,3,SILVER,604
174,52773612,Wilson,775,France,Male,34,9,25911.44,3,1,0,102623.3,0,1,2,SILVER,902
175,21902301,Gonzalez,311,Germany,Male,42,2,160245.43,3,1,0,82419.66,1,1,3,SILVER,662
176,70881768,Rodriguez,526,Spain,Male,39,10,160596.31,3,0,0,178711.77,0,1,2,SILVER,757
177,68260486,Thomas,711,France,Female,53,7,173047.43,2,1,0,105403.91,1,0,2,GOLD,168
178,25424649,Miller,652,Spain,Female,81,5,109094.48,4,0,1,117512.63,0,0,2,DIAMOND,244
179,89914718,Hernandez,308,Germany,Female,39,9,196402.99,4,0,1,40252.19,1,1,2,GOLD,319
180,94266140,Rodriguez,825,Germany,Male,63,4,53074.56,2,0,1,85556.58,0,1,5,GOLD,390
181,24422868,Williams,575,Germany,Female,100,3,32840.59,1,0,0,75408.0,1,0,2,PLATINUM,981
182,80593564,Davis,722,Spain,Male,20,4,168399.66,1,0,0,87061.82,1,1,5,GOLD,569
183,53862178,Hernandez,331,France,Male,30,1,115538.12,4,1,0,29925.89,0,0,2,PLATINUM,636
184,60531013,Johnson,821,Spain,Female,52,8,168985.76,2,1,0,642.42,0,1,1,PLATINUM,809
185,43086198,Rodriguez,346,Germany,Male,78,2,70346.85,3,1,1,197361.94,0,0,5,GOLD,934
186,10550939,Anderson,491,France,Female,22,3,107312.25,4,1,1,35087.75,1,0,2,DIAMOND,750
187,46328082,Rodriguez,345,Spain,Female,83,1,66754.9,4,0,1,190370.34,1,0,1,DIAMOND,922
188,31013162,Taylor,632,France,Male,80,8,34278.34,2,0,1,196756.05,0,1,3,DIAMOND,95
189,63080132,Martinez,809,Germany,Male,23,8,112559.96,2,1,0,63218.64,1,1,5,SILVER,411
190,67513699,Thomas,772,Germany,Male,53,8,42129.2,4,1,0,39939.61,1,1,1,PLATINUM,217
191,91261436,Lopez,682,Spain,Male,67,5,13561.9,1,1,0,194014.97,1,0,2,GOLD,482
192,80834650,Moore,472,France,Male,25,2,14857.89,3,1,1,52740.89,1,0,5,SILVER,696
193,67230619,Davis,732,Spain,Male,49,5,106949.24,1,1,0,63757.19,0,1,1,DIAMOND,942
194,58111212,Martin,338,Spain,Male,63,8,119572.99,2,0,0,7318.92,1,0,3,PLATINUM,910
195,39843538,Moore,787,France,Female,52,3,60901.65,1,1,0,22019.1,1,1,2,SILVER,606
196,11937531,Brown,579,France,Female,70,0,25804.74,3,1,0,51493.04,1,1,2,SILVER,425
197,11484899,Johnson,766,Germany,Male,41,0,70871.97,1,1,0,55222.17,0,1,3,DIAMOND,154
198,82231818,Williams,368,Spain,Female,52,7,201195.06,3,1,1,75965.27,1,0,3,DIAMOND,178
199,32567508,Martin,479,Spain,Male,76,3,92644.74,1,1,1,1951.24,0,0,5,PLATINUM,851
200,12784609,Anderson,598,France,Female,50,7,144564.88,2,0,0,21083.2,1,0,4,GOLD,140
201,53174356,Martinez,305,Spain,Male,77,8,131846.55,3,1,1,23881.45,0,0,3,PLATINUM,876
202,19961292,Johnson,332,France,Female,35,10,98401.79,3,1,1,138331.5,0,0,4,GOLD,512
203,27867782,Martinez,415,Spain,Male,46,2,151192.97,1,0,0,108486.34,1,0,5,PLATINUM,796
204,80872966,Martinez,668,Spain,Female,77,8,96401.96,2,1,0,197049.99,1,1,2,SILVER,159
205,81693448,Anderson,372,Spain,Male,78,5,118134.4,2,1,1,107051.18,0,1,1,SILVER,185
206,57395653,Davis,482,Germany,Male,26,4,240071.37,4,1,1,86517.54,1,0,5,PLATINUM,742
207,59915196,Moore,498,Spain,Female,85,8,77696.82,1,1,1,112969.45,1,1,3,DIAMOND,291
208,78015218,Williams,767,France,Female,65,1,73056.91,4,1,0,197339.29,0,1,5,GOLD,974
209,92850538,Miller,687,France,Male,72,10,47733.94,2,0,0,118027.21,0,0,1,PLATINUM,486
210,80003999,Smith,754,France,Male,73,0,223071.4,1,0,1,44971.68,1,1,3,SILVER,140
211,36336009,Johnson,511,Germany,Female,51,1,57011.75,2,1,1,30521.08,0,0,5,PLATINUM,150
212,64807002,Hernandez,450,France,Female,52,2,2712.65,1,0,1,81151.86,1,0,5,PLATINUM,58
213,73229141,Davis,371,France,Male,94,2,84378.77,3,0,1,106289.71,0,0,4,SILVER,939
214,12051990,Gonzalez,611,France,Male,83,1,153275.02,1,0,1,174817.69,1,1,4,SILVER,660
215,55257904,Brown,603,Germany,Female,60,2,163287.14,1,0,0,141325.81,1,1,3,DIAMOND,955
216,55907098,Gonzalez,331,France,Female,68,5,177982.04,1,1,0,7697.25,0,0,2,PLATINUM,488
217,19761476,Hernandez,542,Spain,Female,34,8,25671.93,3,1,1,29010.46,0,0,2,GOLD,256
218,57524760,Wilson,524,Spain,Female,64,3,41337.16,1,1,1,95163.83,1,1,2,DIAMOND,338
219,35071284,Smith,398,Spain,Male,87,5,234324.05,4,0,0,85750.68,0,0,4,GOLD,409
220,15172539,Martin,752,Germany,Female,82,9,123600.78,4,1,1,75585.82,1,1,2,PLATINUM,330
221,77009204,Anderson,680,Germany,Female,90,6,58664.28,2,0,1,29228.63,1,1,3,PLATINUM,926
222,73546271,Jones,673,Germany,Female,27,1,36900.15,3,1,0,46586.01,1,0,2,GOLD,447
223,76311051,Jackson,524,France,Male,37,10,228589.35,1,1,1,155987.21,0,0,1,SILVER,445
224,21334490,Garcia,842,Germany,Female,37,9,233191.08,4,0,1,2072.54,1,1,4,GOLD,454
225,69944276,Davis,311,Germany,Male,63,2,195315.95,4,0,0,82426.11,0,0,4,SILVER,43
226,55233609,Hernandez,321,France,Male,41,2,209623.24,4,0,0,15597.64,1,0,5,GOLD,659
227,85602010,Thomas,733,Germany,Male,73,1,38225.62,2,0,0,185735.57,1,0,5,GOLD,703
228,17923989,Hernandez,670,Spain,Female,78,9,26099.08,3,0,0,182277.6,0,0,1,PLATINUM,494
229,89319684,Smith,840,Spain,Male,94,3,132574.32,4,0,0,148760.76,1,1,3,SILVER,695
230,45699839,Jackson,451,France,Male,56,8,172540.47,2,1,0,48170.05,0,1,3,GOLD,490
231,56660084,Anderson,560,Spain,Female,70,5,196254.54,3,0,1,138888.55,0,0,5,GOLD,876
232,45424329,Taylor,574,Germany,Male,54,2,67639.08,2,0,1,116233.2,1,0,1,PLATINUM,155
233,94597500,Hernandez,713,France,Male,40,4,152902.24,2,0,1,7309.9,0,0,2,DIAMOND,966
234,67629746,Gonzalez,843,France,Female,50,1,63535.6,3,0,1,185015.36,0,1,3,PLATINUM,488
235,92909881,Brown,501,France,Female,54,0,184717.04,2,0,0,151293.43,1,0,5,PLATINUM,569
236,67420455,Miller,449,Germany,Female,73,9,54175.52,2,1,1,98471.73,1,0,2,GOLD,869
237,24172346,Thomas,434,France,Female,80,10,154303.9,2,0,0,129088.33,1,0,2,PLATINUM,562
238,82200765,Moore,828,France,Female,49,2,208916.31,4,1,1,111046.19,1,1,1,SILVER,635
239,17687503,Jackson,569,Germany,Male,57,7,169175.36,1,0,1,138136.16,1,0,3,GOLD,85
240,41269226,Jones,310,Spain,Female,54,0,198898.96,1,0,0,138687.35,0,1,3,DIAMOND,244
241,14602100,Miller,322,Germany,Female,23,7,13692.96,3,0,0,182210.13,1,1,3,PLATINUM,281
242,61315103,Thomas,331,Spain,Female,81,9,78377.62,1,0,0,38313.0,0,0,2,DIAMOND,915
243,42729647,Thomas,357,Spain,Male,27,8,115136.0,4,0,0,126057.59,0,1,5,GOLD,364
244,30245176,Brown,332,Germany,Female,95,2,238490.04,3,0,0,183288.87,0,0,3,PLATINUM,319
245,52515443,Jones,621,Germany,Male,98,7,143038.09,4,0,1,121579.9,0,0,4,SILVER,356
246,24391020,Smith,536,France,Female,21,3,132603.45,4,1,0,193380.07,1,1,3,PLATINUM,638
247,80972280,Jackson,618,France,Female,98,1,188299.36,3,1,1,62310.56,1,1,4,GOLD,578
248,62442394,Jones,320,Germany,Female,82,5,3400.04,3,0,1,28717.42,1,0,2,SILVER,513
249,44192843,Anderson,672,Germany,Male,34,8,100100.37,4,0,1,141886.04,1,0,3,PLATINUM,586
250,17634941,Brown,509,Germany,Female,20,9,74350.36,3,1,1,179304.77,0,0,5,GOLD,670
251,15633506,Hernandez,355,France,Female,18,4,111218.71,2,0,1,137003.3,1,0,4,GOLD,911
252,97338249,Taylor,670,France,Male,19,5,179795.54,1,1,0,190936.9,0,1,1,DIAMOND,341
253,36928669,Anderson,335,France,Female,77,4,36563.48,2,0,1,180848.88,1,1,1,PLATINUM,724
254,75855636,Miller,405,Germany,Female,67,2,219576.37,2,0,0,2515.02,1,0,5,GOLD,518
255,38200100,Rodriguez,611,France,Female,58,0,199447.94,4,0,0,136800.76,1,1,4,SILVER,211
256,76001649,Johnson,531,Spain,Male,31,9,202268.5,1,0,1,111841.12,0,1,1,GOLD,370
257,90644196,Rodriguez,444,France,Male,31,7,33087.48,1,0,0,132214.78,0,1,4,GOLD,545
258,17134560,Lopez,832,Germany,Male,82,1,81398.26,2,0,0,136477.47,1,0,2,DIAMOND,64
259,86081636,Anderson,587,Spain,Male,48,5,180664.3,2,1,0,47642.59,1,1,2,GOLD,499
